origin,destination,departure_date,return_date,price_brl,currency,airlines_codes,airlines_names,query_time
VCP,NAT,2025-10-12T09:45:00,2025-10-18T09:05:00,2458.89,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
VCP,NAT,2025-10-12T17:55:00,2025-10-18T16:45:00,2458.89,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
VCP,NAT,2025-10-12T17:55:00,2025-10-18T09:05:00,2458.89,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
VCP,NAT,2025-10-12T20:05:00,2025-10-18T16:45:00,2458.89,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
VCP,NAT,2025-10-12T20:05:00,2025-10-18T09:05:00,2458.89,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
VCP,NAT,2025-10-12T17:55:00,2025-10-18T16:45:00,2458.89,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
VCP,NAT,2025-10-12T17:55:00,2025-10-18T09:05:00,2458.89,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
VCP,NAT,2025-10-12T17:55:00,2025-10-18T16:45:00,2493.00,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
VCP,NAT,2025-10-12T17:55:00,2025-10-18T09:05:00,2493.00,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
VCP,NAT,2025-10-12T17:55:00,2025-10-18T16:45:00,2493.00,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
VCP,NAT,2025-10-12T17:55:00,2025-10-18T09:05:00,2493.00,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
